Year,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population
2007,North Dakota,All Types of Cancer,488.4,3617,652822
2007,Ohio,All Types of Cancer,484,61690,11500468
2007,Oklahoma,All Types of Cancer,507.5,19804,3634349
2007,Oregon,All Types of Cancer,471.8,19427,3722417
2007,Pennsylvania,All Types of Cancer,516.9,77432,12563937
2007,Puerto Rico,All Types of Cancer,326.5,13073,3782995
2007,Rhode Island,All Types of Cancer,540.2,6451,1057315
2007,South Carolina,All Types of Cancer,492,23656,4444110
2007,South Dakota,All Types of Cancer,475.3,4205,791623
2007,Tennessee,All Types of Cancer,486.1,32296,6175727
2007,Texas,All Types of Cancer,467.8,99474,23831983
2007,United States,All Types of Cancer,488.2,1541568,301231207
2007,Utah,All Types of Cancer,420.7,8547,2597746
2007,Vermont,All Types of Cancer,503.7,3618,623481
2007,Virginia,All Types of Cancer,472.9,37367,7751000
2007,Washington,All Types of Cancer,477.5,31479,6461587
2007,West Virginia,All Types of Cancer,512.9,11654,1834052
2007,Wisconsin,All Types of Cancer,485.4,29596,5610775
2007,Wyoming,All Types of Cancer,437,2461,534876
2008,Alabama,All Types of Cancer,486.4,25388,4718206
2008,Alaska,All Types of Cancer,487.7,2716,687455
2008,Arizona,All Types of Cancer,417.6,27583,6280362
2008,Arkansas,All Types of Cancer,459.9,14905,2874554
2008,California,All Types of Cancer,453.4,159197,36604337
2008,Colorado,All Types of Cancer,448.6,21022,4889730
2008,Connecticut,All Types of Cancer,515.6,20858,3545579
2008,Delaware,All Types of Cancer,531.7,5295,883874
2008,District of Columbia,All Types of Cancer,496.8,2840,580236
2008,Florida,All Types of Cancer,487.6,113948,18527305
2008,Georgia,All Types of Cancer,488.7,43268,9504843
2008,Hawaii,All Types of Cancer,440.3,6663,1332213
2008,Idaho,All Types of Cancer,469.4,7182,1534320
2008,Illinois,All Types of Cancer,506,66624,12747038
2008,Indiana,All Types of Cancer,484.8,32936,6424806
2008,Iowa,All Types of Cancer,487.1,17013,3016734
2008,Kansas,All Types of Cancer,490.4,14660,2808076
2008,Kentucky,All Types of Cancer,529.4,24746,4289878
